id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
10572,97,CORE CONSULTING,1,Functional Experience,Dev Ops,3,0,2,0 - Avoid,2
10573,97,CORE CONSULTING,1,Functional Experience,Finance,2,0,2,0 - Avoid,2
10574,97,CORE CONSULTING,1,Functional Experience,Operations,1,2,2,2 - Engage,2
10575,97,CORE CONSULTING,1,Functional Experience,HR,1,1,2,0 - Avoid,2
10576,97,CORE CONSULTING,1,Functional Experience,Supply Chain & Inventory Management,2,1,2,0 - Avoid,2
10577,97,CORE CONSULTING,1,Industry Vertical Experience,High Tech,1,1,2,2 - Engage,2
10578,97,CORE CONSULTING,1,Industry Vertical Experience,Financial Services,3,0,2,0 - Avoid,2
10579,97,CORE CONSULTING,1,Industry Vertical Experience,Communications / Telecom,3,0,2,1 - Develop,2
10580,97,CORE CONSULTING,1,Industry Vertical Experience,Retail,1,2,2,2 - Engage,2
10581,97,CORE CONSULTING,1,Industry Vertical Experience,Healthcare & Life Sciences,3,0,2,1 - Develop,2
10582,97,CORE CONSULTING,1,Industry Vertical Experience,Media & Entertainment,3,0,2,1 - Develop,2
10583,97,CORE CONSULTING,1,Industry Vertical Experience,Manufacturing,3,0,2,1 - Develop,2
10584,97,CORE CONSULTING,1,Industry Vertical Experience,PubSec,1,1,2,2 - Engage,2
10585,97,CORE CONSULTING,1,Education,MBA,3,,2,,2
10586,97,CORE CONSULTING,1,Education,"Bachelor's business administration, information systems",,,1,,2
10587,97,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
10588,97,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
10589,97,PROGRAM MANAGEMENT,3,General,PMO,1,8,2,2 - Engage,2
10590,97,PROGRAM MANAGEMENT,3,General,Cross functional delivery management,3,6,2,1 - Develop,2
10591,97,PROGRAM MANAGEMENT,3,General,Organizational structure definition,1,7,2,2 - Engage,2
10592,97,PROGRAM MANAGEMENT,3,General,Process definition and improvement,1,8,2,2 - Engage,2
10593,97,PROGRAM MANAGEMENT,3,General,Risk management,3,6,2,0 - Avoid,2
10594,97,PROGRAM MANAGEMENT,3,General,Communications management,1,7,2,2 - Engage,2
10595,97,PROGRAM MANAGEMENT,3,General,Project Management Structure ,1,7,2,2 - Engage,2
10596,97,PROGRAM MANAGEMENT,3,General,Program Documentation and Planning,1,8,2,2 - Engage,2
10597,97,PROGRAM MANAGEMENT,3,General,Technical Project Management,3,6,2,1 - Develop,2
10598,97,PROGRAM MANAGEMENT,3,General,RFP Development and Execution,1,7,2,2 - Engage,2
10599,97,PROGRAM MANAGEMENT,3,General,Budget Management ,1,7,2,2 - Engage,2
10600,97,PROGRAM MANAGEMENT,3,Execution Experience ,Kanban method,3,6,2,0 - Avoid,2
10601,97,PROGRAM MANAGEMENT,3,Execution Experience ,Waterfall,2,6,2,0 - Avoid,2
10602,97,PROGRAM MANAGEMENT,3,Execution Experience ,Water-gile (hybrid),2,6,2,1 - Develop,2
10603,97,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (delivery role),3,6,2,0 - Avoid,2
10604,97,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (leadership role),3,6,2,0 - Avoid,2
10605,97,PROGRAM MANAGEMENT,3,Execution Experience ,<OTHER HERE>,,,2,,2
10606,97,PROGRAM MANAGEMENT,3,Project Management Suites,VersionOne,3,6,2,1 - Develop,2
10607,97,PROGRAM MANAGEMENT,3,Project Management Suites,Microsoft Project,1,7,2,1 - Develop,2
10608,97,PROGRAM MANAGEMENT,3,Project Management Suites,JIRA,3,6,2,1 - Develop,2
10609,97,PROGRAM MANAGEMENT,3,Certifications,PMP / Project Management Professional,2,6,2,1 - Develop,2
10610,97,PROGRAM MANAGEMENT,3,Certifications,PMI - ACP,3,6,2,1 - Develop,2
10611,97,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
10612,97,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
10613,97,Product Management ,1,General Tools ,Rally ,3,6,2,1 - Develop,2
10614,97,Product Management ,1,General Tools ,Slack,2,7,2,1 - Develop,2
10615,97,Product Management ,1,General Tools ,Asana,1,7,2,2 - Engage,2
10616,97,Product Management ,1,General Tools ,Trello ,3,6,2,1 - Develop,2
10617,97,Product Management ,1,General Tools ,<OTHER HERE>,,,2,,2
